"","site_id","TriggerID","ImageFile1","ImageDate1","ImageFile2","ImageDate2","subject_id","top_identity","top_value","consensus_pct"
"353","GCTL","GCTL_CC_06Dec2021_09170011_frame_2","09170011_frame_201.png","9/17/2021 23:35","09170011_frame_202.png","9/17/2021 23:35","99802622","RINGTAIL","9","90"
"354","GCTL","GCTL_CC_06Dec2021_09170011_frame_2","09170011_frame_201.png","9/17/2021 23:35","09170011_frame_202.png","9/17/2021 23:35","100027073","RINGTAIL","10","100"
"355","GCTL","GCTL_CC_06Dec2021_09210014_frame_2","09210014_frame_201.png","9/21/2021 6:32","09210014_frame_202.png","9/21/2021 6:32","99802623","RINGTAIL","7","70"
"356","GCTL","GCTL_CC_06Dec2021_09210014_frame_2","09210014_frame_201.png","9/21/2021 6:32","09210014_frame_202.png","9/21/2021 6:32","100027074","RINGTAIL","8","80"
"357","GCTL","GCTL_CC_06Dec2021_09210016_frame_2","09210016_frame_201.png","9/21/2021 6:34","09210016_frame_202.png","9/21/2021 6:34","99802624","RINGTAIL","6","60"
"358","GCTL","GCTL_CC_06Dec2021_09210016_frame_2","09210016_frame_201.png","9/21/2021 6:34","09210016_frame_202.png","9/21/2021 6:34","100027075","RINGTAIL","6","60"
"359","GCTL","GCTL_CC_06Dec2021_09210017_frame_2","09210017_frame_201.png","9/22/2021 1:21","09210017_frame_202.png","9/22/2021 1:21","99802625","RINGTAIL","4","40"
"360","GCTL","GCTL_CC_06Dec2021_09210018_frame_2","09210018_frame_201.png","9/22/2021 1:22","09210018_frame_202.png","9/22/2021 1:22","99802626","RINGTAIL","9","90"
"361","GCTL","GCTL_CC_06Dec2021_09210018_frame_2","09210018_frame_201.png","9/22/2021 1:22","09210018_frame_202.png","9/22/2021 1:22","100027077","RINGTAIL","6","60"
"362","GCTL","GCTL_CC_06Dec2021_09230021_frame_2","09230021_frame_201.png","9/23/2021 7:47","09230021_frame_202.png","9/23/2021 7:47","99802627","RINGTAIL","5","50"
"363","GCTL","GCTL_CC_06Dec2021_09230021_frame_2","09230021_frame_201.png","9/23/2021 7:47","09230021_frame_202.png","9/23/2021 7:47","100027078","RINGTAIL","5","50"
"364","GCTL","GCTL_CC_06Dec2021_09240024_frame_2","09240024_frame_201.png","9/24/2021 12:53","09240024_frame_202.png","9/24/2021 12:53","99802628","RINGTAIL","5","50"
"365","GCTL","GCTL_CC_06Dec2021_09240024_frame_2","09240024_frame_201.png","9/24/2021 12:53","09240024_frame_202.png","9/24/2021 12:53","100027079","RINGTAIL","5","50"
"366","GCTL","GCTL_CC_06Dec2021_09260029_frame_2","09260029_frame_201.png","9/26/2021 7:37","09260029_frame_202.png","9/26/2021 7:37","99802629","RINGTAIL","9","90"
"367","GCTL","GCTL_CC_06Dec2021_09260029_frame_2","09260029_frame_201.png","9/26/2021 7:37","09260029_frame_202.png","9/26/2021 7:37","100027080","RINGTAIL","8","80"
"368","","NRM_CC_02Dec2021_DCIM0119","DCIM0119.JPG","2021:10:04 15:36:09","DCIM0120.JPG","2021:10:04 15:36:10","76935925","RINGTAIL","5","55.56"
"369","","NRM_CC_02Dec2021_DCIM0201","DCIM0201.JPG","2021:10:11 02:20:24","DCIM0202.JPG","2021:10:11 02:20:25","76935613","COYOTE","6","60"
"370","","NRM_CC_02Dec2021_DCIM0203","DCIM0203.JPG","2021:10:11 21:45:06","DCIM0204.JPG","2021:10:11 21:45:06","76935614","GRAYFOX","4","40"
"371","","NRM_CC_02Dec2021_DCIM0205","DCIM0205.JPG","2021:10:14 20:35:23","DCIM0206.JPG","2021:10:14 20:35:24","76935615","GRAYFOX","5","55.56"
