date_added,latrine_site,month_year,segment_id,fragment_id,vehicle_access,fragment_type,fragment_description,fragment_weight,notes
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F3,,Anthropogenic,paper,0.001,green_wrappers
3/31/23,GCETRO,Dec2021,GCETRO_S7_06Dec2021,GCETRO_S7_06Dec2021_F4,yes,Plant,plant_material,0.01,n/a
3/31/23,GCETRO,Dec2021,GCETRO_S1_06Dec2021,GCETRO_S1_06Dec2021_F4,yes,Plant,plant_material,0.048,seed_husks
3/31/23,GCBAC,Sep2021,GCBAC_S6_12Sep2021,GCBAC_S6_12Sep2021_F2,no,Plant,plant_material,0.119,n/a
4/10/23,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F2,no,Plant,plant_material,0.271,seeds/seed_casings
4/10/23,GCTC,Dec2021,GCTC_S1_06Dec2021,GCTC_S1_06Dec2021_F2,no,Plant,plant_material,0.096,n/a
4/10/23,GCETRO,Jun2021,GCET2_S5_02Jun2021,GCET2_S5_02Jun2021_F3,yes,Plant,plant_material,0.004,seed_casing
4/10/23,GCETRO,Sep2021,GCETRO_S6_14Sep2021,GCETRO_S6_14Sep2021_F4,yes,Plant,plant_material,0.055,seed_casing
7/13/23,GCETRO,Sep2021,GCETRO_S10_14Sep2021,GCETRO_S10_14Sep2021_F3,yes,Plant,plant_material,0.005,dead_grass
7/13/23,GCBH,Sep2021,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F3,no,Plant,plant_material,0.006,plant_material
7/13/23,GCBAR,Jun2021,GCBAR_S3_02Jun2021,GCBAR_S3_02Jun2021_F2,yes,Plant,plant_material,0.021,plant_material
7/13/23,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F2,no,Plant,plant_material,0.091,plant_pieces
4/19/23,GC15H,Jul2021,GC15H_S1_25Jul2021,GC15H_S1_25Jul2021_F1,no,Plant,plant_material,0.002,n/a
4/19/23,GCJH,May2021,GCJH_S1_06May2021,GCJH_S1_06May2021_F1,no,Plant,plant_material,0.087,n/a
4/19/23,GC15H,Dec2021,GC15H_S3_04Dec2021,GC15H_S3_04Dec2021_F1,no,Plant,plant_material,0.052,n/a
4/26/23,GCBB,Dec2021,GCBB_S3_05Dec2021,GCBB_S3_05Dec2021_F2,no,Plant,plant_material,0.001,leaf piece?
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F2,yes,Plant,plant_material,0.002,n/a
4/26/23,GC15H,Dec2021,GC15H_S2_04Dec2021,GC15H_S2_04Dec2021_F1,no,Plant,plant_material,0.711,possible petals
4/26/23,GCETRO,Dec2021,GCETRO_S8_06Dec2021,GCETRO_S8_06Dec2021_F1,yes,Plant,plant_material,0.001,grass?
4/26/23,GC15H,Jul2021,GC15H_S2_25Jul2021,GC15H_S2_25Jul2021_F1,no,Plant,plant_material,0.172,seed
4/26/23,GCTC,Sep2021,GCTC_S2_13Sep2021,GCTC_S2_13Sep2021_F1,no,Plant,plant_material,0.025,seeds and casings
4/26/23,GCBAC,Sep2021,GCBAC_S5_12Sep2021,GCBAC_S5_12Sep2021_F1,no,Plant,plant_material,0.048,n/a
4/26/23,GC15H,Jul2021,GC15H_S3_25Jul2021,GC15H_S3_25Jul2021_F1,no,Plant,plant_material,0.348,seeds and casings
4/26/23,GCBAC,Jun2021,GCBAC_S1_08Jun2021,GCBAC_S1_08Jun2021_F1,no,Plant,plant_material,2.21,seeds and casings
4/26/23,GCWP,Jun2021,GCWP_S4_05Jun2021,GCWP_S4_05Jun2021_F2,,Plant,plant_material,0.023,seed and leaf fragments
4/26/23,GC15H,Dec2021,GC15H_S1_04Dec2021,GC15H_S1_04Dec2021_F2,,Plant,plant_material,1.534,seeds and other fragments
4/26/23,GCBH,Sep2021,GCBH_S4_12Sep2021,GCBH_S4_12Sep2021_F3,,Plant,plant_material,0.038,n/a
4/26/23,GCBAR,Jun2021,GCBAR_S2_02Jun2021,GCBAR_S2_02Jun2021_F3,,Plant,plant_material,0.016,n/a
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F3,,Plant,plant_material,0.003,seeds
4/26/23,GCBAC,Sep2021,GCBAC_S8_12Sep2021,GCBAC_S8_12Sep2021_F2,,Plant,plant_material,0.157,seeds
4/26/23,GCTC,Dec2021,GCTC_S2_06Dec2021,GCTC_S2_06Dec2021_F2,,Plant,plant_material,0.033,n/a
4/26/23,GCTL,Sep2021,GCTL_S2_14Sep2021,GCTL_S2_14Sep2021_F3,,Plant,plant_material,0.037,n/a
